Sample	Custom content: Biotype Counts_mqc-generalstats-custom_content_biotype_counts-percent_rRNA	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools: stats_mqc-generalstats-samtools_stats-error_rate	Samtools: stats_mqc-generalstats-samtools_stats-non_primary_alignments	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_properly_paired_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_MQ0_percent	Samtools: stats_mqc-generalstats-samtools_stats-raw_total_sequences	Samtools: flagstat_mqc-generalstats-samtools_flagstat-flagstat_total	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	UMI Tools Dedup_mqc-generalstats-umi_tools_dedup-dedup_output_reads	UMI Tools Dedup_mqc-generalstats-umi_tools_dedup-dedup_percent_passing	SortMeRNA_mqc-generalstats-sortmerna-rRNA_pct	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
A-2024-0142_L3_S94_1																		40.61969376173366	49.0	150.0	150	18.181818181818183	56012812.0	2.804141925293067	57.22019360686435	49.0	142.61504589360626	145	18.181818181818183	55079241.0
A-2024-0142_L3_S94_2																	1.9720959844018184	40.768616284846374	51.0	150.0	150	18.181818181818183	56012812.0	2.9574615770110744	57.17343341497868	51.0	142.4339833767862	145	18.181818181818183	55079241.0
A-2024-0142_L5_S95	3.569383682848045e-05	93.59922086292907	0.003161694	2091724.0	55731221.0	100.0	100.0	0.1593056789478917	55731221.0	57822945	57822945	100.0	95.68	39761855.0	29051540	67.89														
A-2024-0142_L5_S95_1																		38.90119539850324	49.0	150.0	150	18.181818181818183	43761760.0	3.2465335505008373	53.95215738751097	49.0	142.65389291624822	145	18.181818181818183	42812172.0
A-2024-0142_L5_S95_2																	2.155531842673154	39.09672980475957	51.0	150.0	150	18.181818181818183	43761760.0	3.437046833141301	54.263192748893694	51.0	142.42253455395817	145	18.181818181818183	42812172.0
A-2024-0142_L7_S96	1.3558425798972612e-05	93.21682859439281	0.003013431	2671748.0	66298837.0	100.0	100.0	0.17016588088867984	66298837.0	68970585	68970585	100.0	95.31	41891189.0	34656175	76.52														
A-2024-0142_L7_S96_1																		33.15993264355714	49.0	150.0	150	18.181818181818183	45646017.0	2.663227617503807	51.226760650108325	49.0	142.2282603437049	145	18.181818181818183	45081405.0
A-2024-0142_L7_S96_2																	1.7495106907160503	33.12483460351527	51.0	150.0	150	18.181818181818183	45646017.0	2.828028762411346	50.70281926368481	50.0	142.04007710052514	145	18.181818181818183	45081405.0
A-2024-0142_L9_S97	2.887034177937588e-05	92.9291986386114	0.003017491	2659074.0	62623682.0	100.0	100.0	0.1848198577656293	62623682.0	65282756	65282756	100.0	95.12	40582833.0	32804589	74.59														
A-2024-0142_L9_S97_1																		35.32418146882078	49.0	150.0	150	18.181818181818183	44464057.0	3.0570341188242187	52.22519596299198	49.0	141.98045048866987	145	18.181818181818183	43810558.0
