Sample	total	rRNA	rRNA_pct	non_rRNA	non_rRNA_pct	rfam-5.8s-database-id98_pct	rfam-5.8s-database-id98_count	rfam-5s-database-id98_pct	rfam-5s-database-id98_count	silva-arc-16s-id95_pct	silva-arc-16s-id95_count	silva-arc-23s-id98_pct	silva-arc-23s-id98_count	silva-bac-16s-id90_pct	silva-bac-16s-id90_count	silva-bac-23s-id98_pct	silva-bac-23s-id98_count	silva-euk-18s-id95_pct	silva-euk-18s-id95_count	silva-euk-28s-id98_pct	silva-euk-28s-id98_count
RSS0001500_2	77965304	3957794	5.076352937711882	74007510	94.92364706228813	0.04	31186.121600000002	0.53	413216.1112	0.06	46779.1824	0.38	296268.1552	2.27	1769812.4008000002	0.14	109151.42560000002	0.59	459995.2936	1.06	826432.2224
RSS0001502_1																					
RSS0001502_2	61300556	5045917	8.231437574562946	56254639	91.76856242543705	0.12	73560.6672	0.49	300372.7244	0.17	104210.9452	0.9	551705.0040000001	2.12	1299571.7872	0.26	159381.4456	1.72	1054369.5632	2.44	1495733.5664
RSS0001503_1																					
RSS0001503_2	48520080	2466732	5.0839405046323085	46053348	94.91605949536769	0.04	19408.032	0.57	276564.45599999995	0.07	33964.056000000004	0.43	208636.344	1.98	960697.5839999999	0.16	77632.128	0.67	325084.536	1.16	562832.928
RSS0001504_1																					
RSS0001504_2	43722406	2246865	5.138932656176332	41475541	94.86106734382366	0.05	21861.203	0.54	236100.99240000002	0.09	39350.1654	0.45	196750.82700000002	1.85	808864.511	0.16	69955.8496	0.78	341034.76680000004	1.23	537785.5938
RSS0001505_1																					
RSS0001505_2	78877284	4520044	5.730476216701376	74357240	94.26952378329862	0.06	47326.37039999999	0.48	378610.96319999994	0.09	70989.55559999999	0.49	386498.69159999996	2.27	1790514.3468000002	0.17	134091.38280000002	0.86	678344.6424	1.31	1033292.4204000001
RSS0001506_1																					
RSS0001506_2	57184022	3315237	5.797488326372006	53868785	94.202511673628	0.05	28592.011000000002	0.5	285920.11	0.08	45747.2176	0.46	263046.5012	2.59	1481066.1698	0.16	91494.4352	0.75	428880.165	1.21	691926.6662
RSS0001507_1																					
RSS0001507_2	52402848	3224756	6.153780038825371	49178092	93.84621996117463	0.05	26201.424	0.51	267254.5248	0.09	47162.5632	0.49	256773.9552	2.71	1420117.1808	0.17	89084.8416	0.83	434943.6384	1.29	675996.7392
RSS0001508_1																					
RSS0001508_2	73892094	4235553	5.732078725499375	69656541	94.26792127450062	0.03	22167.6282	0.49	362071.2606	0.05	36946.047	0.35	258622.32899999997	3.15	2327600.961	0.13	96059.72219999999	0.51	376849.6794	1.01	746310.1494
RSS0001509_1																					
RSS0001509_2	69170602	3494087	5.051404641526757	65676515	94.94859535847324	0.03	20751.1806	0.52	359687.13039999997	0.05	34585.301	0.36	249014.1672	2.47	1708513.8694000002	0.13	89921.78259999999	0.52	359687.13039999997	0.97	670954.8394
RSS0001510_1																					
RSS0001510_2	55036014	2432331	4.419526094313444	52603683	95.58047390568656	0.04	22014.405600000002	0.52	286187.2728	0.06	33021.6084	0.38	209136.8532	1.73	952123.0422	0.14	77050.41960000001	0.57	313705.27979999996	1.0	550360.14
RSS0001511_1																					
RSS0001511_2	46758678	2274839	4.865062694886284	44483839	95.13493730511372	0.04	18703.4712	0.55	257172.72900000002	0.07	32731.074600000004	0.42	196386.44759999998	1.8	841656.2040000001	0.15	70138.017	0.7	327310.746	1.12	523697.19360000006
RSS0001512_1																					
RSS0001512_2	53732946	2967246	5.522209781685896	50765700	94.47779021831411	0.05	26866.473	0.47	252544.84619999997	0.08	42986.3568	0.45	241798.25700000004	2.34	1257350.9363999998	0.15	80599.419	0.78	419116.97880000004	1.2	644795.352
RSS0001513_1																					
RSS0001513_2	73570058	4028571	5.475829582735955	69541487	94.52417041726405	0.06	44142.034799999994	0.5	367850.29	0.09	66213.05219999999	0.47	345779.27259999997	2.11	1552328.2237999998	0.18	132426.10439999998	0.87	640059.5046	1.21	890197.7017999999
RSS0001514_1																					
RSS0001514_2	58749292	2761247	4.700051534238064	55988045	95.29994846576194	0.04	23499.716800000002	0.51	299621.38920000003	0.07	41124.504400000005	0.38	223247.3096	1.94	1139736.2648	0.14	82249.00880000001	0.62	364245.6104	1.02	599242.7784000001
RSS0001515_1																					
